"TotalG","Taxon","Scenario","Nutrients"
0.06706,"japon","low","low"
0.06108,"japon","low","low"
0.06082,"japon","high","high"
0.06674,"japon","high","high"
0.06318,"japon","high","high"
0.06131,"japon","high","high"
0.06471,"bohem","high","high"
0.06106,"bohem","high","high"
0.0642,"bohem","high","high"
0.06855,"bohem","high","high"
0.0666,"bohem","high","high"
0.07482,"bohem","high","high"
0.06606,"japon","gradual","high"
0.06701,"japon","gradual","high"
0.07041,"japon","gradual","high"
0.06343,"japon","gradual","high"
0.07705,"japon","gradual","high"
0.06179,"japon","gradual","high"
0.06256,"bohem","gradual","high"
0.06954,"bohem","gradual","high"
0.07591,"bohem","gradual","high"
0.06497,"bohem","gradual","high"
0.06071,"bohem","gradual","high"
0.06744,"japon","extreme","high"
0.07774,"japon","extreme","high"
0.06568,"japon","extreme","high"
0.07107,"japon","extreme","high"
0.0677,"bohem","extreme","high"
0.06086,"bohem","extreme","high"
0.06219,"bohem","extreme","high"
0.06553,"bohem","extreme","high"
0.06089,"bohem","extreme","high"
0.06037,"bohem","extreme","high"
0.06786,"bohem","extreme","high"
0.069,"japon","fluctuations","high"
0.0654,"japon","fluctuations","high"
0.06308,"japon","fluctuations","high"
0.06093,"japon","fluctuations","high"
0.06873,"japon","fluctuations","high"
0.06988,"japon","fluctuations","high"
0.06948,"japon","fluctuations","high"
0.0668,"bohem","fluctuations","high"
0.06296,"bohem","fluctuations","high"
0.0788,"bohem","fluctuations","high"
0.06425,"bohem","fluctuations","high"
